logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,3.88021135525e+11,3.88021135525e+11 
2.67472005752,14.508287785,4.25171859875e+11,4.25171859873e+11 
3.04685502204,21.0490414451,4.65879545929e+11,4.65879545927e+11 
3.41898998657,30.5385550883,5.10484751695e+11,5.10484751689e+11 
3.79112495109,44.3062145758,5.59360641587e+11,5.59360641577e+11 
4.16325991561,64.2807311728,6.12916108304e+11,6.12916108288e+11 
4.53539488014,93.2603346883,6.71599193596e+11,6.71599193571e+11 
4.90752984466,135.304777458,7.35900836558e+11,7.3590083652e+11 
5.27966480919,196.304065004,8.06358980793e+11,8.06358980736e+11 
5.65179977371,284.803586844,8.83563074817e+11,8.83563074731e+11 
6.02393473824,413.201240012,9.68159003349e+11,9.68159003222e+11 
6.39606970276,599.484250319,1.06085449075e+12,1.06085449056e+12 
6.76820466729,869.749002618,1.16242502178e+12,1.1624250215e+12 
7.14033963181,1261.85688307,1.27372032929e+12,1.27372032889e+12 
7.51247459634,1830.7382803,1.39567150301e+12,1.39567150243e+12 
7.88460956086,2656.08778295,1.52929877901e+12,1.52929877816e+12 
8.25674452538,3853.52859371,1.67572007493e+12,1.67572007369e+12 
8.62887948991,5590.81018251,1.83616034238e+12,1.83616034058e+12 
9.00101445443,8111.3083079,2.01196181489e+12,2.01196181227e+12 
9.37314941895,11768.1195243,2.2045952369e+12,2.20459523309e+12 
9.74528438348,17073.5264747,2.41567216797e+12,2.41567216243e+12 
10.117419348,24770.7635599,2.64695846497e+12,2.64695845692e+12 
10.4895543125,35938.136638,2.90038905522e+12,2.90038904354e+12 
10.8616892771,52140.08288,3.17808412397e+12,3.17808410702e+12 
11.2338242416,75646.3327555,3.48236685184e+12,3.48236682723e+12 
11.6059592061,109749.876549,3.81578285046e+12,3.81578281475e+12 
11.9780941706,159228.279334,4.18112145911e+12,4.18112140728e+12 
12.3502291351,231012.970008,4.58143908029e+12,4.58143900508e+12 
12.7223640997,335160.265094,5.02008474975e+12,5.02008464062e+12 
13.0944990642,486260.158007,5.50072815474e+12,5.5007279964e+12 
13.4666340287,705480.231072,6.02739033499e+12,6.02739010524e+12 
13.8387689932,1023531.0219,6.60447732339e+12,6.60447699005e+12 
14.2109039578,1484968.26225,7.23681700796e+12,7.23681652432e+12 
14.5830389223,2154434.69003,7.92969952351e+12,7.92969882181e+12 
14.9551738868,3125715.84969,8.68892151139e+12,8.68892049332e+12 
15.3273088513,4534878.50813,9.52083461788e+12,9.5208331408e+12 
15.6994438159,6579332.24658,1.04323986375e+13,1.04323964944e+13 
16.0715787804,9545484.56662,1.14312397465e+13,1.14312366374e+13 
16.4437137449,13848863.7139,1.25257143158e+13,1.25257098049e+13 
16.8158487094,20092330.0257,1.37249788371e+13,1.37249722925e+13 
17.187983674,29150530.6283,1.50390665517e+13,1.50390570566e+13 
17.5601186385,42292428.7439,1.64789714256e+13,1.64789576497e+13 
17.932253603,61359072.7341,1.80567401783e+13,1.80567201918e+13 
18.3043885675,89021508.5445,1.97855731448e+13,1.97855441477e+13 
18.6765235321,129154966.501,2.16799348224e+13,2.16798927525e+13 
19.0486584966,187381742.286,2.37556750467e+13,2.37556140105e+13 
19.4207934611,271858824.273,2.60301618315e+13,2.60300732784e+13 
19.7929284256,394420605.944,2.85224270185e+13,2.8522298543e+13 
20.1650633902,572236765.935,3.1253326004e+13,3.12531396079e+13 
20.5371983547,830217568.132,3.4245712951e+13,3.42454425221e+13 
20.9093333192,1204503540.26,3.75246330543e+13,3.75242407082e+13 
21.2814682837,1747528400.01,4.11175336179e+13,4.11169643908e+13 
21.6536032483,2535364493.97,4.50544959271e+13,4.50536700758e+13 
22.0257382128,3678379771.83,4.93684901705e+13,4.93672920016e+13 
22.3978731773,5336699231.21,5.40956560028e+13,5.40939176647e+13 
22.7700081418,7742636826.81,5.92756117565e+13,5.92730897255e+13 
23.1421431064,11233240329.8,6.49517958551e+13,6.49481368197e+13 
23.5142780709,16297508346.2,7.11718446775e+13,7.11665360435e+13 
23.8864130354,23644894126.5,7.79880120625e+13,7.79803101432e+13 
24.2585479999,34304692863.1,8.54576369015e+13,8.54464627352e+13 
24.6306829645,49770235643.3,9.36436669965e+13,9.36274551941e+13 
25.002817929,72208090183.9,1.02615249751e+14,1.02591729201e+14 
25.3749528935,1.04761575279e+11,1.12448403614e+14,1.12414279323e+14 
25.747087858,1.51991108295e+11,1.23226788915e+14,1.23177280411e+14 
26.1192228225,2.2051307399e+11,1.35042603435e+14,1.34970775073e+14 
26.4913577871,3.1992671378e+11,1.47997637617e+14,1.47893426962e+14 
26.8634927516,4.64158883361e+11,1.62204538008e+14,1.62053346191e+14 
27.2356277161,6.73415065775e+11,1.77788347215e+14,1.77568993775e+14 
27.6077626806,9.77009957299e+11,1.94888416956e+14,1.94570172671e+14 
27.9798976452,1.41747416293e+12,2.13660831666e+14,2.131991137e+14 
28.3520326097,2.05651230835e+12,2.34281539152e+14,2.33611665438e+14 
28.7241675742,2.98364724028e+12,2.56950470105e+14,2.55978598042e+14 
29.0963025387,4.32876128108e+12,2.81897051857e+14,2.80487031899e+14 
29.4684375033,6.28029144183e+12,3.09387700598e+14,3.07342003062e+14 
29.8405724678,9.11162756115e+12,3.39736135432e+14,3.36768178575e+14 
30.2127074323,1.32194114847e+13,3.73317733239e+14,3.69011736016e+14 
30.5848423968,1.91791026167e+13,4.10589687702e+14,4.04342423009e+14 
30.9569773614,2.78255940221e+13,4.5211952532e+14,4.43055813916e+14 
31.3291123259,4.0370172586e+13,4.98625675936e+14,4.8547578259e+14 
31.7012472904,5.85702081806e+13,5.76266383542e+14,5.54220213722e+14 
32.0733822549,8.49753435909e+13,6.84229887147e+14,6.46718366677e+14 
32.4455172195,1.23284673944e+14,8.15525685196e+14,7.54654260963e+14 
32.817652184,1.78864952906e+14,9.76443329551e+14,8.80604422163e+14 
33.1897871485,2.5950242114e+14,1.18613884959e+15,1.03530968121e+15 
33.561922113,3.76493580679e+14,1.51226296594e+15,1.26061210105e+15 
33.8456292144,5e+14,1.82351395982e+15,1.53494446943e+15 
33.8456292144,5e+14,3.46467652365e+15,1.64432318059e+15 
33.8991475716,5.27488179021e+14,3.5196528817e+15,1.68300271363e+15 
33.9526659288,5.56487558014e+14,3.57765163968e+15,1.7233326936e+15 
34.0061842861,5.87081217249e+14,3.63883895815e+15,1.76537458669e+15 
34.0597026433,6.19356804448e+14,3.70339013255e+15,1.80919189128e+15 
34.1132210005,6.53406785885e+14,3.77149009542e+15,1.85485021237e+15 
34.1667393578,6.89328711292e+14,3.84333394624e+15,1.90241733949e+15 
34.220257715,7.27225493333e+14,3.91912751032e+15,1.95196332807e+15 
34.2737760723,7.67205702431e+14,3.99908792852e+15,2.00356058448e+15 
34.3272944295,8.0938387782e+14,4.08344427929e+15,2.05728395478e+15 
34.3808127867,8.5388085568e+14,4.17243823502e+15,2.11321081722e+15 
34.434331144,9.00824115327e+14,4.26632475431e+15,2.17142117866e+15 
34.4878495012,9.50348144424e+14,4.3653728125e+15,2.23199777495e+15 
34.5413678584,1.00259482428e+15,4.46986617221e+15,2.29502617536e+15 
