baryon_density,pressurec2,energy_densityc2
4.4322e11,8.779932658463436e8,4.4605721088e11
5.18916e11,9.293502773029473e8,5.2274539948e11
6.55866e11,1.0123655202423141e9,6.6099503237e11
7.89994e11,1.0939739366604643e9,7.9643031677e11
9.64792e11,1.204778459889426e9,9.7267231725e11
1.185738e12,1.3549800082866006e9,1.1960526494e12
1.458476e12,1.556538568140379e9,1.47114483007e12
1.78782e12,1.8224696021497095e9,1.80498375e12
2.18124e12,2.1696555633486586e9,2.2021443522e12
2.90168e12,2.8837287613579164e9,2.9299779774e12
3.32e12,3.5652499331330957e9,3.3529859469e12
6.64e12,8.039641005722739e9,6.7111755951e12
9.96e12,1.3369689923146452e10,1.00719073735e13
1.328e13,1.9359319793360126e10,1.3434551989e13
1.66e13,2.5990674329917965e10,1.67987832075e13
1.992e13,3.328160803666754e10,2.0164404932e13
2.324e13,4.13212508249885e10,2.3531319114e13
2.656e13,5.016308064170866e10,2.6899427705e13
2.9879999999999996e13,5.991403555450131e10,3.0268712878e13
3.32e13,7.068108928300432e10,3.3639121152e13
3.652e13,8.242858986266583e10,3.7010652527e13
3.984e13,9.533479711624515e10,4.038332483e13
4.316e13,1.0932840711463857e11,4.3757102407e13
4.648e13,1.2456985369832945e11,4.7132003085e13
4.98e13,1.409343549913863e11,5.0508044691e13
5.312e13,1.585645188520165e11,5.3885209398e13
5.644000000000001e13,1.7733556340428864e11,5.726351503299999e13
5.975999999999999e13,1.9737230617609872e11,6.0642961596e13
6.308e13,2.1853210365727475e11,6.4023549087e13
6.64e13,2.4090406793321405e11,6.7405277506e13
6.972000000000001e13,2.64434721057089e11,7.078816468e13
7.304e13,2.8898145517069196e11,7.4172192782e13
7.636e13,3.146690521499545e11,7.7557361812e13
7.968e13,3.413727301189452e11,8.094367177e13
8.3e13,3.691103150599399e11,8.4331122656e13
8.632e13,3.976858994277261e11,8.7719678816e13
8.964e13,4.2727738652541766e11,9.1109375904e13
9.296e13,4.578138289435563e11,9.4500178266e13
9.628e13,4.890989626172841e11,9.7892103729e13
9.96e13,5.212039132158819e11,1.01285098812e14
1.0292e14,5.528277405528524e11,1.04679181342e14
1.0624e14,5.865372078161069e11,1.08074297838e14
1.0956e14,6.209418883881227e11,1.11470519608e14
1.1288000000000002e14,6.5595265235752e11,1.14867793171e14
1.1620000000000002e14,6.883073449678037e11,1.1826601156500002e14
1.1951999999999998e14,7.251007071647943e11,1.2166533523299998e14
1.2284e14,7.563680148562461e11,1.25065461116e14
1.2616e14,7.975109167285638e11,1.2846658531099998e14
1.2948e14,8.40080075442779e11,1.3186883260700002e14
1.328e14,8.838790486742106e11,1.35272185177e14
1.3612e14,9.290329748184358e11,1.3867664302099998e14
1.3944000000000002e14,9.756308055270112e11,1.42082223966e14
1.4276e14,1.0237438447290411e12,1.45488928012e14
1.4608e14,1.0733544447020718e12,1.48896772986e14
1.494e14,1.124711812678321e12,1.52305758888e14
1.5272e14,1.1777626489707837e12,1.55715903545e14
1.5604e14,1.2326675656797659e12,1.59127224784e14
1.5936e14,1.2894085585631692e12,1.62539740432e14
1.6268e14,1.348377799231064e12,1.65953450489e14
1.66e14,1.409361375896139e12,1.69368390609e14
1.66830498e14,1.436452590719808e12,1.70122864903e14
1.68148372e14,1.4616893686073125e12,1.71478126924e14
1.69466246e14,1.4873012051619023e12,1.72833585042e14
1.70783954e14,1.5132959438157793e12,1.74189257084e14
1.72101828e14,1.5396819627806128e12,1.75545125223e14
1.73419536e14,1.5664678185278955e12,1.76901189459e14
1.7473741e14,1.5936620675291199e12,1.78257467619e14
1.76055284e14,1.6212732662557783e12,1.7961397753e14
1.77372992e14,1.6493101494391855e12,1.8097061223e14
