logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,1.11902542067e+12,1.11902542067e+12 
2.67472005752,14.508287785,1.20693002245e+12,1.20693002245e+12 
3.04685502204,21.0490414451,1.30173993565e+12,1.30173993565e+12 
3.41898998657,30.5385550883,1.40399760429e+12,1.40399760429e+12 
3.79112495109,44.3062145758,1.51428808387e+12,1.51428808386e+12 
4.16325991562,64.2807311728,1.6332423887e+12,1.63324238868e+12 
4.53539488014,93.2603346883,1.76154110215e+12,1.76154110213e+12 
4.90752984466,135.304777458,1.89991827058e+12,1.89991827055e+12 
5.27966480919,196.304065004,2.04916560305e+12,2.04916560301e+12 
5.65179977371,284.803586844,2.21013700103e+12,2.21013700096e+12 
6.02393473824,413.201240012,2.38375344387e+12,2.38375344377e+12 
6.39606970276,599.484250319,2.5710082581e+12,2.57100825795e+12 
6.76820466729,869.749002618,2.77297280063e+12,2.77297280041e+12 
7.14033963181,1261.85688307,2.99080258838e+12,2.99080258807e+12 
7.51247459633,1830.7382803,3.22574390947e+12,3.22574390902e+12 
7.88460956086,2656.08778295,3.47914095369e+12,3.47914095302e+12 
8.25674452538,3853.52859371,3.75244350312e+12,3.75244350215e+12 
8.62887948991,5590.81018251,4.04721522695e+12,4.04721522553e+12 
9.00101445443,8111.3083079,4.36514262776e+12,4.3651426257e+12 
9.37314941896,11768.1195243,4.70804469073e+12,4.70804468774e+12 
9.74528438348,17073.5264747,5.07788329073e+12,5.07788328639e+12 
10.117419348,24770.7635599,5.476774417e+12,5.47677441069e+12 
10.4895543125,35938.136638,5.90700027952e+12,5.90700027037e+12 
10.8616892771,52140.08288,6.37102236652e+12,6.37102235324e+12 
11.2338242416,75646.3327555,6.87149552759e+12,6.87149550831e+12 
11.6059592061,109749.876549,7.4112831632e+12,7.41128313523e+12 
11.9780941706,159228.279334,7.99347360746e+12,7.99347356687e+12 
12.3502291351,231012.970008,8.62139779778e+12,8.62139773888e+12 
12.7223640997,335160.265094,9.2986483327e+12,9.29864824724e+12 
13.0944990642,486260.158007,1.00291000269e+13,1.00290999029e+13 
13.4666340287,705480.231072,1.0816932081e+13,1.08169319011e+13 
13.8387689932,1023531.0219,1.1666651993e+13,1.1666651732e+13 
14.2109039578,1484968.26225,1.25831213487e+13,1.258312097e+13 
14.5830389223,2154434.69003,1.3571583638e+13,1.35715830886e+13 
14.9551738868,3125715.84969,1.46376942572e+13,1.463769346e+13 
15.3273088513,4534878.50813,1.57875528689e+13,1.57875517124e+13 
15.6994438159,6579332.24658,1.70277383055e+13,1.70277366275e+13 
16.0715787804,9545484.56662,1.83653462153e+13,1.83653437809e+13 
16.4437137449,13848863.7139,1.98080296699e+13,1.9808026138e+13 
16.8158487094,20092330.0257,2.13640429645e+13,2.13640378403e+13 
17.187983674,29150530.6283,2.30422888642e+13,2.30422814298e+13 
17.5601186385,42292428.7439,2.48523695705e+13,2.48523587844e+13 
17.932253603,61359072.7341,2.68046417024e+13,2.68046260536e+13 
18.3043885675,89021508.5445,2.8910275614e+13,2.89102529103e+13 
18.6765235321,129154966.501,3.11813193958e+13,3.11812864566e+13 
19.0486584966,187381742.286,3.3630767939e+13,3.36307201498e+13 
19.4207934611,271858824.273,3.62726374773e+13,3.62725681433e+13 
19.7929284256,394420605.944,3.91220460586e+13,3.91219454669e+13 
20.1650633902,572236765.935,4.21953004468e+13,4.21951545054e+13 
20.5371983547,830217568.132,4.55099900072e+13,4.55097782711e+13 
20.9093333192,1204503540.26,4.90850881959e+13,4.90847810031e+13 
21.2814682837,1747528400.01,5.29410623527e+13,5.29406166685e+13 
21.6536032483,2535364493.97,5.70999925995e+13,5.7099345988e+13 
22.0257382128,3678379771.83,6.15857007762e+13,6.15847626534e+13 
22.3978731773,5336699231.21,6.64238905163e+13,6.64225294608e+13 
22.7700081418,7742636826.81,7.16422997955e+13,7.16403251369e+13 
23.1421431064,11233240329.8,7.72708675916e+13,7.72680027001e+13 
23.5142780709,16297508346.2,8.33419167279e+13,8.33377602607e+13 
23.8864130354,23644894126.5,8.98903555613e+13,8.98843252391e+13 
24.2585479999,34304692863.1,9.69539020196e+13,9.69451530545e+13 
24.6306829645,49770235643.3,1.04573334672e+14,1.04560641422e+14 
25.002817929,72208090183.9,1.12792777215e+14,1.12774361482e+14 
25.3749528935,1.04761575279e+11,1.21660025167e+14,1.21633307091e+14 
25.747087858,1.51991108295e+11,1.31226927042e+14,1.31188163689e+14 
26.1192228225,2.2051307399e+11,1.41549837276e+14,1.41493598287e+14 
26.4913577871,3.1992671378e+11,1.52690165391e+14,1.52608572248e+14 
26.8634927516,4.64158883361e+11,1.64715056296e+14,1.64596678616e+14 
27.2356277161,6.73415065775e+11,1.77698251709e+14,1.77526505965e+14 
27.6077626806,9.77009957299e+11,1.91721204484e+14,1.91472030815e+14 
27.9798976452,1.41747416293e+12,2.06874549215e+14,2.06513040885e+14 
28.3520326097,2.05651230835e+12,2.23260078273e+14,2.22735591585e+14 
28.7241675742,2.98364724028e+12,2.40993438756e+14,2.40232498374e+14 
29.0963025387,4.32876128108e+12,2.60207861999e+14,2.59103867794e+14 
29.4684375033,6.28029144183e+12,2.81059376781e+14,2.79457670217e+14 
29.8405724678,9.11162756115e+12,3.03734159561e+14,3.01410357583e+14 
30.2127074323,1.32194114847e+13,3.28458968457e+14,3.2508752967e+14 
30.5848423968,1.91791026167e+13,3.55516033115e+14,3.50624652698e+14 
30.9569773614,2.78255940221e+13,3.85264389857e+14,3.78167834381e+14 
31.3291123259,4.0370172586e+13,4.1817054678e+14,4.07874659868e+14 
31.7012472904,5.85702081806e+13,4.54852662379e+14,4.39915093347e+14 
32.0733822549,8.49753435909e+13,4.96144305508e+14,4.74472450475e+14 
32.4455172195,1.23284673944e+14,1.20072415564e+15,1.02597682086e+15 
32.817652184,1.78864952906e+14,1.33231333699e+15,1.12600829432e+15 
33.1897871485,2.5950242114e+14,1.48327836131e+15,1.23579271295e+15 
33.561922113,3.76493580679e+14,1.6584595017e+15,1.35628097687e+15 
