logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,1.40454601556e+11,1.40454601556e+11 
2.67472005752,14.508287785,1.56144988466e+11,1.56144988464e+11 
3.04685502204,21.0490414451,1.73588171217e+11,1.73588171213e+11 
3.41898998657,30.5385550883,1.9297995717e+11,1.92979957164e+11 
3.79112495109,44.3062145758,2.14538027612e+11,2.145380276e+11 
4.16325991562,64.2807311728,2.38504381319e+11,2.385043813e+11 
4.53539488014,93.2603346883,2.65148051104e+11,2.65148051074e+11 
4.90752984466,135.304777458,2.94768123822e+11,2.94768123776e+11 
5.27966480919,196.304065004,3.27697097757e+11,3.27697097688e+11 
5.65179977371,284.803586844,3.64304615057e+11,3.64304614954e+11 
6.02393473824,413.201240012,4.05001611133e+11,4.0500161098e+11 
6.39606970276,599.484250319,4.50244927583e+11,4.50244927358e+11 
6.76820466729,869.749002618,5.00542440449e+11,5.00542440118e+11 
7.14033963181,1261.85688307,5.56458761341e+11,5.56458760855e+11 
7.51247459633,1830.7382803,6.18621575456e+11,6.18621574746e+11 
7.88460956086,2656.08778295,6.8772868762e+11,6.87728686583e+11 
8.25674452538,3853.52859371,7.64555855458e+11,7.64555853947e+11 
8.62887948991,5590.81018251,8.49965497617e+11,8.49965495418e+11 
9.00101445443,8111.3083079,9.44916374804e+11,9.44916371604e+11 
9.37314941896,11768.1195243,1.0504743523e+12,1.05047434765e+12 
9.74528438348,17073.5264747,1.1678243648e+12,1.16782435805e+12 
10.117419348,24770.7635599,1.29828371783e+12,1.29828370801e+12 
10.4895543125,35938.136638,1.44331687512e+12,1.44331686087e+12 
10.8616892771,52140.08288,1.60455189791e+12,1.60455187722e+12 
11.2338242416,75646.3327555,1.78379872075e+12,1.78379869071e+12 
11.6059592061,109749.876549,1.98306946887e+12,1.98306942527e+12 
11.9780941706,159228.279334,2.20460104539e+12,2.20460098212e+12 
12.3502291351,231012.970008,2.45088024177e+12,2.45088014995e+12 
12.7223640997,335160.265094,2.72467165345e+12,2.72467152021e+12 
13.0944990642,486260.158007,3.02904871421e+12,3.02904852088e+12 
13.4666340287,705480.231072,3.36742819753e+12,3.367427917e+12 
13.8387689932,1023531.0219,3.74360857245e+12,3.74360816542e+12 
14.2109039578,1484968.26225,4.16181264464e+12,4.16181205408e+12 
14.5830389223,2154434.69003,4.62673496151e+12,4.62673410467e+12 
14.9551738868,3125715.84969,5.14359451388e+12,5.1435932707e+12 
15.3273088513,4534878.50813,5.71819332624e+12,5.71819152255e+12 
15.6994438159,6579332.24658,6.356981594e+12,6.3569789771e+12 
