logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,21328430015.2,21328430015.2 
2.67472005752,14.508287785,24239082674.6,24239082673.0 
3.04685502204,21.0490414451,27546946891.9,27546946887.7 
3.41898998657,30.5385550883,31306229417.7,31306229409.4 
3.79112495109,44.3062145758,35578534500.7,35578534486.2 
4.16325991562,64.2807311728,40433873411.4,40433873387.7 
4.53539488014,93.2603346883,45951811733.7,45951811696.1 
4.90752984466,135.304777458,52222773224.2,52222773166.1 
5.27966480919,196.304065004,59349521608.7,59349521520.5 
5.65179977371,284.803586844,67448844595.6,67448844463.0 
6.02393473824,413.201240012,76653467704.0,76653467506.4 
6.39606970276,599.484250319,87114229269.3,87114228976.6 
6.76820466729,869.749002618,99002552267.0,99002551835.7 
7.14033963181,1261.85688307,1.12513253464e+11,1.12513252831e+11 
7.51247459633,1830.7382803,1.27867735928e+11,1.27867735001e+11 
7.88460956086,2656.08778295,1.45317617217e+11,1.45317615862e+11 
8.25674452538,3853.52859371,1.651488527e+11,1.65148850722e+11 
8.62887948991,5590.81018251,1.8768642158e+11,1.87686418697e+11 
9.00101445443,8111.3083079,2.13299652419e+11,2.13299648223e+11 
9.37314941896,11768.1195243,2.42408275429e+11,2.42408269324e+11 
9.74528438348,17073.5264747,2.75489300707e+11,2.75489291831e+11 
10.117419348,24770.7635599,3.1308483515e+11,3.13084822251e+11 
10.4895543125,35938.136638,3.55810966135e+11,3.55810947397e+11 
10.8616892771,52140.08288,4.04367857557e+11,4.04367830344e+11 
11.2338242416,75646.3327555,4.59551223684e+11,4.59551184171e+11 
11.6059592061,109749.876549,5.22265368856e+11,5.22265311494e+11 
11.9780941706,159228.279334,5.93538006753e+11,5.93537923489e+11 
12.3502291351,231012.970008,6.74537102084e+11,6.74536981238e+11 
12.7223640997,335160.265094,7.66590010756e+11,7.66589835376e+11 
13.0944990642,486260.158007,8.71205232213e+11,8.71204977707e+11 
13.4666340287,705480.231072,9.90097130521e+11,9.90096761209e+11 
13.8387689932,1023531.0219,1.12521402943e+12,1.12521349354e+12 
14.2109039578,1484968.26225,1.27877014199e+12,1.27876936442e+12 
14.5830389223,2154434.69003,1.45328185829e+12,1.45328073008e+12 
14.9551738868,3125715.84969,1.65160898631e+12,1.65160734936e+12 
15.3273088513,4534878.50813,1.87700162235e+12,1.87699924729e+12 
15.6994438159,6579332.24658,2.13315341994e+12,2.13314997398e+12 
16.0715787804,9545484.56662,2.4242621314e+12,2.42425713174e+12 
16.4437137449,13848863.7139,2.75509841595e+12,2.75509116212e+12 
16.8158487094,20092330.0257,3.13108404458e+12,3.1310735203e+12 
17.187983674,29150530.6283,3.55838078691e+12,3.55836551774e+12 
17.5601186385,42292428.7439,4.04399144228e+12,4.04396928904e+12 
17.932253603,61359072.7341,4.59587467846e+12,4.5958425376e+12 
18.3043885675,89021508.5445,5.22307557156e+12,5.2230289403e+12 
18.6765235321,129154966.501,5.93587400284e+12,5.93580634847e+12 
19.0486584966,187381742.286,6.74595336874e+12,6.74585521338e+12 
19.4207934611,271858824.273,7.66659240371e+12,7.66644999657e+12 
19.7929284256,394420605.944,8.71288331056e+12,8.71267670159e+12 
20.1650633902,572236765.935,9.90197984679e+12,9.90168009188e+12 
20.5371983547,830217568.132,1.12533795399e+13,1.1252944646e+13 
20.9093333192,1204503540.26,1.27892448119e+13,1.27886138546e+13 
21.2814682837,1747528400.01,1.45347685027e+13,1.45338530906e+13 
21.6536032483,2535364493.97,1.65185901077e+13,1.65172620005e+13 
22.0257382128,3678379771.83,1.87732700307e+13,1.87713431732e+13 
22.3978731773,5336699231.21,2.13358303096e+13,2.13330347678e+13 
22.7700081418,7742636826.81,2.4248371682e+13,2.42443158279e+13 
23.1421431064,11233240329.8,2.75587785536e+13,2.75528942019e+13 
23.5142780709,16297508346.2,3.13215255319e+13,3.13129883429e+13 
23.8864130354,23644894126.5,3.55986018011e+13,3.55862157993e+13 
24.2585479999,34304692863.1,4.04605729265e+13,4.04426029559e+13 
24.6306829645,49770235643.3,4.59878039265e+13,4.59617325728e+13 
25.002817929,72208090183.9,5.22718730008e+13,5.22340479271e+13 
25.3749528935,1.04761575279e+11,5.94172126374e+13,5.93623349279e+13 
25.747087858,1.51991108295e+11,6.7543024658e+13,6.74634064932e+13 
26.1192228225,2.2051307399e+11,7.67855291209e+13,7.66700167908e+13 
26.4913577871,3.1992671378e+11,8.73006253309e+13,8.71330367122e+13 
26.8634927516,4.64158883361e+11,9.92670686269e+13,9.90239262294e+13 
27.2356277161,6.73415065775e+11,1.12890302145e+14,1.12537544149e+14 
27.6077626806,9.77009957299e+11,1.28407132772e+14,1.27895341312e+14 
27.9798976452,1.41747416293e+12,1.46091511346e+14,1.45348989557e+14 
28.3520326097,2.05651230835e+12,1.6626177792e+14,1.65184505929e+14 
28.7241675742,2.98364724028e+12,1.89289876927e+14,1.87726939707e+14 
29.0963025387,4.32876128108e+12,2.15613253374e+14,2.13345699063e+14 
29.4684375033,6.28029144183e+12,2.45750437708e+14,2.42460604639e+14 
29.8405724678,9.11162756115e+12,2.80321753764e+14,2.75548769253e+14 
30.2127074323,1.32194114847e+13,3.2007719976e+14,3.13152416451e+14 
30.5848423968,1.91791026167e+13,3.6593444099e+14,3.55887766055e+14 
30.9569773614,2.78255940221e+13,4.19031137458e+14,4.04455132307e+14 
31.3291123259,4.0370172586e+13,4.80797687856e+14,4.59650400077e+14 
31.7012472904,5.85702081806e+13,5.60539507957e+14,5.28803027624e+14 
32.0733822549,8.49753435909e+13,6.74272461605e+14,6.24095803459e+14 
32.4455172195,1.23284673944e+14,8.14235669893e+14,7.36560782651e+14 
32.817652184,1.78864952906e+14,9.87741470615e+14,8.69292476464e+14 
33.1897871485,2.5950242114e+14,1.20636160848e+15,1.02719390717e+15 
33.561922113,3.76493580679e+14,1.49428990611e+15,1.22189280383e+15 
33.9340570776,5.46227721768e+14,1.86351365495e+15,1.45349579436e+15 
34.3061920421,7.92482898354e+14,2.34148821027e+15,1.72899784465e+15 
34.6783270066,1.1497569954e+15,2.96630373546e+15,2.05671977752e+15 
35.0504619711,1.6681005372e+15,3.79114933091e+15,2.44655958152e+15 
35.4225969357,2.42012826479e+15,4.89072710481e+15,2.9102913539e+15 
35.7947319002,3.51119173422e+15,6.37048340752e+15,3.46192090663e+15 
36.1668668647,5.09413801482e+15,8.37991316977e+15,4.11810877551e+15 
36.5390018292,7.39072203353e+15,1.11317568229e+16,4.89867340829e+15 
36.9111367938,1.07226722201e+16,1.49297263696e+16,5.82718972937e+15 
37.2832717583,1.55567614393e+16,2.02085820277e+16,6.93170115906e+15 
37.6554067228,2.25701971963e+16,2.7592099173e+16,8.24556659214e+15 
38.0275416873,3.27454916288e+16,3.79769574147e+16,9.80846791649e+15 
38.3996766519,4.7508101621e+16,5.26541982503e+16,1.16676085013e+16 
38.7718116164,6.89261210435e+16,7.34851407114e+16,1.38791388522e+16 
39.1439465809,1e+17,1.03156249632e+17,1.6509852491e+16 
