logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,1.22920171914e+11,1.22920171914e+11 
2.67472005752,14.508287785,1.36937627611e+11,1.36937627609e+11 
3.04685502204,21.0490414451,1.52553592821e+11,1.52553592817e+11 
3.41898998657,30.5385550883,1.69950356879e+11,1.69950356872e+11 
3.79112495109,44.3062145758,1.89330996861e+11,1.89330996849e+11 
4.16325991562,64.2807311728,2.10921748155e+11,2.10921748136e+11 
4.53539488014,93.2603346883,2.34974645372e+11,2.34974645341e+11 
4.90752984466,135.304777458,2.61770464407e+11,2.61770464361e+11 
5.27966480919,196.304065004,2.91622000019e+11,2.91621999949e+11 
5.65179977371,284.803586844,3.24877717161e+11,3.24877717055e+11 
6.02393473824,413.201240012,3.61925818709e+11,3.61925818552e+11 
6.39606970276,599.484250319,4.03198777056e+11,4.03198776825e+11 
6.76820466729,869.749002618,4.49178382484e+11,4.49178382143e+11 
7.14033963181,1261.85688307,5.00401367224e+11,5.00401366725e+11 
7.51247459633,1830.7382803,5.57465670883e+11,5.57465670153e+11 
7.88460956086,2656.08778295,6.21037420355e+11,6.21037419289e+11 
8.25674452538,3853.52859371,6.91858705698e+11,6.91858704145e+11 
8.62887948991,5590.81018251,7.7075624276e+11,7.707562405e+11 
9.00101445443,8111.3083079,8.58651023663e+11,8.58651020375e+11 
9.37314941896,11768.1195243,9.56569067799e+11,9.56569063019e+11 
9.74528438348,17073.5264747,1.06565339885e+12,1.06565339191e+12 
10.117419348,24770.7635599,1.18717738764e+12,1.18717737755e+12 
10.4895543125,35938.136638,1.32255961655e+12,1.3225596019e+12 
10.8616892771,52140.08288,1.47338043911e+12,1.47338041784e+12 
11.2338242416,75646.3327555,1.64140042791e+12,1.64140039704e+12 
11.6059592061,109749.876549,1.82858092642e+12,1.82858088161e+12 
11.9780941706,159228.279334,2.0371069444e+12,2.03710687937e+12 
12.3502291351,231012.970008,2.26941266435e+12,2.26941256998e+12 
12.7223640997,335160.265094,2.52820985679e+12,2.52820971985e+12 
13.0944990642,486260.158007,2.81651953595e+12,2.81651933724e+12 
13.4666340287,705480.231072,3.13770722568e+12,3.13770693736e+12 
13.8387689932,1023531.0219,3.4955222472e+12,3.49552182887e+12 
14.2109039578,1484968.26225,3.89414148756e+12,3.89414088059e+12 
14.5830389223,2154434.69003,4.33821815987e+12,4.33821727922e+12 
14.9551738868,3125715.84969,4.83293612493e+12,4.8329348472e+12 
15.3273088513,4534878.50813,5.3840704087e+12,5.38406855489e+12 
15.6994438159,6579332.24658,5.99805462292e+12,5.99805193329e+12 
16.0715787804,9545484.56662,6.68205607668e+12,6.68205217442e+12 
16.4437137449,13848863.7139,7.44405945744e+12,7.44405379585e+12 
16.8158487094,20092330.0257,8.29296006016e+12,8.29295184608e+12 
17.187983674,29150530.6283,9.23866765619e+12,9.23865573886e+12 
17.5601186385,42292428.7439,1.02922222185e+13,1.02922049284e+13 
17.932253603,61359072.7341,1.1465922861e+13,1.14658977759e+13 
18.3043885675,89021508.5445,1.27734715057e+13,1.27734351114e+13 
18.6765235321,129154966.501,1.42301329698e+13,1.42300801678e+13 
19.0486584966,187381742.286,1.58529133587e+13,1.58528367518e+13 
19.4207934611,271858824.273,1.76607588784e+13,1.76606477347e+13 
19.7929284256,394420605.944,1.96747774276e+13,1.9674616177e+13 
20.1650633902,572236765.935,2.19184856178e+13,2.19182516705e+13 
20.5371983547,830217568.132,2.44180841894e+13,2.44177447717e+13 
20.9093333192,1204503540.26,2.72027651685e+13,2.72022727314e+13 
21.2814682837,1747528400.01,3.03050545307e+13,3.03043400883e+13 
21.6536032483,2535364493.97,3.37611946375e+13,3.37601581036e+13 
22.0257382128,3678379771.83,3.76115712978e+13,3.76100674643e+13 
22.3978731773,5336699231.21,4.19011909961e+13,4.18990091908e+13 
