logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,49820419943.9,49820419943.9 
2.67472005752,14.508287785,55916047655.5,55916047654.1 
3.04685502204,21.0490414451,62757487571.6,62757487567.8 
3.41898998657,30.5385550883,70435991302.5,70435991295.1 
3.79112495109,44.3062145758,79053975275.3,79053975262.6 
4.16325991562,64.2807311728,88726386771.5,88726386750.7 
4.53539488014,93.2603346883,99582237101.7,99582237068.8 
4.90752984466,135.304777458,1.11766322368e+11,1.11766322317e+11 
5.27966480919,196.304065004,1.25441154765e+11,1.25441154688e+11 
5.65179977371,284.803586844,1.40789130179e+11,1.40789130064e+11 
6.02393473824,413.201240012,1.58014960999e+11,1.58014960827e+11 
6.39606970276,599.484250319,1.77348406582e+11,1.77348406328e+11 
6.76820466729,869.749002618,1.99047337806e+11,1.99047337433e+11 
7.14033963181,1261.85688307,2.23401176568e+11,2.23401176021e+11 
7.51247459633,1830.7382803,2.50734756116e+11,2.50734755315e+11 
7.88460956086,2656.08778295,2.81412653702e+11,2.81412652533e+11 
8.25674452538,3853.52859371,3.15844053344e+11,3.1584405164e+11 
8.62887948991,5590.81018251,3.54488203558e+11,3.54488201076e+11 
9.00101445443,8111.3083079,3.97860542853e+11,3.97860539242e+11 
9.37314941896,11768.1195243,4.46539574708e+11,4.46539569457e+11 
9.74528438348,17073.5264747,5.01174583705e+11,5.01174576073e+11 
10.117419348,24770.7635599,5.62494295765e+11,5.62494284678e+11 
10.4895543125,35938.136638,6.3131659799e+11,6.31316581887e+11 
10.8616892771,52140.08288,7.08559447756e+11,7.08559424376e+11 
11.2338242416,75646.3327555,7.95253116588e+11,7.95253082646e+11 
11.6059592061,109749.876549,8.92553932119e+11,8.92553882852e+11 
11.9780941706,159228.279334,1.00175970146e+12,1.00175962996e+12 
12.3502291351,231012.970008,1.12432702172e+12,1.12432691795e+12 
12.7223640997,335160.265094,1.26189070859e+12,1.261890558e+12 
13.0944990642,486260.158007,1.4162856022e+12,1.41628538368e+12 
13.4666340287,705480.231072,1.58957104118e+12,1.58957072411e+12 
13.8387689932,1023531.0219,1.78405833149e+12,1.78405787143e+12 
14.2109039578,1484968.26225,2.0023415765e+12,2.00234090898e+12 
14.5830389223,2154434.69003,2.2473322799e+12,2.24733131139e+12 
14.9551738868,3125715.84969,2.5222981832e+12,2.52229677797e+12 
15.3273088513,4534878.50813,2.83090685643e+12,2.83090481762e+12 
15.6994438159,6579332.24658,3.17727462425e+12,3.1772716662e+12 
16.0715787804,9545484.56662,3.56602148099e+12,3.56601718928e+12 
16.4437137449,13848863.7139,4.00233272882e+12,4.00232650217e+12 
16.8158487094,20092330.0257,4.49202816331e+12,4.49201912939e+12 
17.187983674,29150530.6283,5.04163973269e+12,5.04162662589e+12 
17.5601186385,42292428.7439,5.65849871123e+12,5.65847969536e+12 
17.932253603,61359072.7341,6.35083355668e+12,6.35080596774e+12 
18.3043885675,89021508.5445,7.1278797669e+12,7.12783973989e+12 
18.6765235321,129154966.501,8.00000321582e+12,7.99994514327e+12 
19.0486584966,187381742.286,8.9788386351e+12,8.97875438153e+12 
19.4207934611,271858824.273,1.00774451194e+13,1.00773228816e+13 
19.7929284256,394420605.944,1.13104807743e+13,1.13103034279e+13 
20.1650633902,572236765.935,1.26943989019e+13,1.26941416024e+13 
20.5371983547,830217568.132,1.42476684345e+13,1.42472951365e+13 
20.9093333192,1204503540.26,1.5991021694e+13,1.59904801022e+13 
21.2814682837,1747528400.01,1.79477329814e+13,1.79469472238e+13 
21.6536032483,2535364493.97,2.01439319988e+13,2.01427919986e+13 
22.0257382128,3678379771.83,2.26089567052e+13,2.26073027595e+13 
22.3978731773,5336699231.21,2.53757509184e+13,2.53733513257e+13 
22.7700081418,7742636826.81,2.84813128477e+13,2.84778314488e+13 
23.1421431064,11233240329.8,3.19672018191e+13,3.19621509046e+13 
23.5142780709,16297508346.2,3.58801118057e+13,3.58727837926e+13 
23.8864130354,23644894126.5,4.02725221048e+13,4.02618904114e+13 
24.2585479999,34304692863.1,4.52034377437e+13,4.51880129758e+13 
24.6306829645,49770235643.3,5.0739235156e+13,5.07168564575e+13 
25.002817929,72208090183.9,5.69546326237e+13,5.69221649624e+13 
25.3749528935,1.04761575279e+11,6.39338103538e+13,6.38867053347e+13 
25.747087858,1.51991108295e+11,7.17717124264e+13,7.17033711072e+13 
26.1192228225,2.2051307399e+11,8.05755730763e+13,8.04764215215e+13 
26.4913577871,3.1992671378e+11,9.04667240769e+13,9.03228721454e+13 
26.8634927516,4.64158883361e+11,1.01582760159e+14,1.01374055635e+14 
27.2356277161,6.73415065775e+11,1.14080167991e+14,1.13777373457e+14 
27.6077626806,9.77009957299e+11,1.28137564971e+14,1.27698261944e+14 
27.9798976452,1.41747416293e+12,1.43959752371e+14,1.43322398893e+14 
28.3520326097,2.05651230835e+12,1.6178287092e+14,1.60858180148e+14 
28.7241675742,2.98364724028e+12,1.8188106719e+14,1.80539499202e+14 
29.0963025387,4.32876128108e+12,2.04575252332e+14,2.02628866882e+14 
29.4684375033,6.28029144183e+12,2.30244784769e+14,2.27420912739e+14 
29.8405724678,9.11162756115e+12,2.59343269651e+14,2.55246314835e+14 
30.2127074323,1.32194114847e+13,2.92420190314e+14,2.86476210355e+14 
30.5848423968,1.91791026167e+13,3.30150843048e+14,3.21527145857e+14 
30.9569773614,2.78255940221e+13,3.73378141272e+14,3.60866633201e+14 
31.3291123259,4.0370172586e+13,4.23171441238e+14,4.05019385255e+14 
31.7012472904,5.85702081806e+13,4.80909839773e+14,4.54574314553e+14 
32.0733822549,8.49753435909e+13,5.49108721464e+14,5.10764863774e+14 
32.4455172195,1.23284673944e+14,6.34176774155e+14,5.77440077191e+14 
32.817652184,1.78864952906e+14,7.36385045867e+14,6.52819068804e+14 
33.1897871485,2.5950242114e+14,8.60691970096e+14,7.38038029274e+14 
33.561922113,3.76493580679e+14,1.01392993667e+15,8.34381467522e+14 
33.9340570776,5.46227721768e+14,1.20560294177e+15,9.43301572181e+14 
34.3061920421,7.92482898354e+14,1.63633999133e+15,1.15863903137e+15 
34.6783270066,1.1497569954e+15,2.47556309921e+15,1.53434356482e+15 
35.0504619711,1.6681005372e+15,3.72604942019e+15,2.03187542554e+15 
35.4225969357,2.42012826479e+15,5.58388212545e+15,2.69073878859e+15 
35.7947319002,3.51119173422e+15,8.33700547381e+15,3.56324759749e+15 
