logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,92676153322.6,92676153322.6 
2.67472005752,14.508287785,1.03212413834e+11,1.03212413833e+11 
3.04685502204,21.0490414451,1.14946531417e+11,1.14946531414e+11 
3.41898998657,30.5385550883,1.28014689262e+11,1.28014689255e+11 
3.79112495109,44.3062145758,1.4256855309e+11,1.42568553078e+11 
4.16325991562,64.2807311728,1.58777031352e+11,1.58777031332e+11 
4.53539488014,93.2603346883,1.76828235531e+11,1.76828235501e+11 
4.90752984466,135.304777458,1.96931663322e+11,1.96931663276e+11 
5.27966480919,196.304065004,2.19320630007e+11,2.19320629937e+11 
5.65179977371,284.803586844,2.44254976251e+11,2.44254976146e+11 
6.02393473824,413.201240012,2.72024083752e+11,2.72024083596e+11 
6.39606970276,599.484250319,3.02950233727e+11,3.02950233496e+11 
6.76820466729,869.749002618,3.3739234723e+11,3.37392346891e+11 
7.14033963181,1261.85688307,3.75750150702e+11,3.75750150204e+11 
7.51247459633,1830.7382803,4.1846881509e+11,4.18468814363e+11 
7.88460956086,2656.08778295,4.66044122399e+11,4.66044121338e+11 
8.25674452538,3853.52859371,5.19028219609e+11,5.19028218063e+11 
8.62887948991,5590.81018251,5.78036026762e+11,5.78036024511e+11 
9.00101445443,8111.3083079,6.43752373579e+11,6.43752370305e+11 
9.37314941896,11768.1195243,7.16939947428e+11,7.16939942668e+11 
9.74528438348,17073.5264747,7.98448144901e+11,7.98448137984e+11 
10.117419348,24770.7635599,8.89222929721e+11,8.89222919675e+11 
10.4895543125,35938.136638,9.90317811398e+11,9.90317796808e+11 
10.8616892771,52140.08288,1.10290607204e+12,1.10290605086e+12 
11.2338242416,75646.3327555,1.22829438328e+12,1.22829435253e+12 
11.6059592061,109749.876549,1.36793797123e+12,1.36793792661e+12 
11.9780941706,159228.279334,1.52345750572e+12,1.52345744096e+12 
12.3502291351,231012.970008,1.69665790957e+12,1.69665781558e+12 
12.7223640997,335160.265094,1.88954930644e+12,1.88954917006e+12 
13.0944990642,486260.158007,2.10437035036e+12,2.10437015246e+12 
13.4666340287,705480.231072,2.34361420774e+12,2.34361392059e+12 
13.8387689932,1023531.0219,2.6100574935e+12,2.61005707687e+12 
14.2109039578,1484968.26225,2.90679249742e+12,2.90679189292e+12 
14.5830389223,2154434.69003,3.23726307476e+12,3.23726219768e+12 
14.9551738868,3125715.84969,3.60530461814e+12,3.60530334562e+12 
15.3273088513,4534878.50813,4.01518857511e+12,4.01518672884e+12 
15.6994438159,6579332.24658,4.47167202852e+12,4.47166934984e+12 
16.0715787804,9545484.56662,4.98005291639e+12,4.98004903001e+12 
16.4437137449,13848863.7139,5.5462315334e+12,5.54622589485e+12 
16.8158487094,20092330.0257,6.17677902996e+12,6.17677084932e+12 
17.187983674,29150530.6283,6.87901370687e+12,6.87900183806e+12 
17.5601186385,42292428.7439,7.66108599536e+12,7.66106877565e+12 
17.932253603,61359072.7341,8.53207311536e+12,8.5320481324e+12 
18.3043885675,89021508.5445,9.50208451973e+12,9.50204827361e+12 
18.6765235321,129154966.501,1.05823793617e+13,1.05823267746e+13 
19.0486584966,187381742.286,1.17854973685e+13,1.17854210735e+13 
19.4207934611,271858824.273,1.31254046683e+13,1.31252939772e+13 
19.7929284256,394420605.944,1.46176563045e+13,1.46174957104e+13 
20.1650633902,572236765.935,1.62795773824e+13,1.62793443876e+13 
20.5371983547,830217568.132,1.81304650384e+13,1.81301270027e+13 
20.9093333192,1204503540.26,2.0191813701e+13,2.01913232689e+13 
21.2814682837,1747528400.01,2.24875664399e+13,2.24868549065e+13 
21.6536032483,2535364493.97,2.50443955865e+13,2.50433632731e+13 
22.0257382128,3678379771.83,2.7892016266e+13,2.78905185556e+13 
22.3978731773,5336699231.21,3.10635370373e+13,3.10613641155e+13 
22.7700081418,7742636826.81,3.45958525191e+13,3.45926999812e+13 
23.1421431064,11233240329.8,3.85300837335e+13,3.85255099403e+13 
23.5142780709,16297508346.2,4.2912072978e+13,4.29054371866e+13 
23.8864130354,23644894126.5,4.77929414416e+13,4.77833140438e+13 
24.2585479999,34304692863.1,5.32297196187e+13,5.32157519122e+13 
24.6306829645,49770235643.3,5.92860630379e+13,5.92657982865e+13 
25.002817929,72208090183.9,6.60330691543e+13,6.6003668469e+13 
25.3749528935,1.04761575279e+11,7.35502158315e+13,7.35075604702e+13 
25.747087858,1.51991108295e+11,8.19264481825e+13,8.18645625557e+13 
26.1192228225,2.2051307399e+11,9.12614494194e+13,9.11716639698e+13 
26.4913577871,3.1992671378e+11,1.01667143884e+14,1.01536880569e+14 
26.8634927516,4.64158883361e+11,1.13269498193e+14,1.13080508425e+14 
27.2356277161,6.73415065775e+11,1.26210711748e+14,1.25936519952e+14 
27.6077626806,9.77009957299e+11,1.40651924107e+14,1.40254118756e+14 
27.9798976452,1.41747416293e+12,1.56776618707e+14,1.56199471253e+14 
28.3520326097,2.05651230835e+12,1.74794977294e+14,1.73957635157e+14 
28.7241675742,2.98364724028e+12,1.94949547282e+14,1.93734707209e+14 
29.0963025387,4.32876128108e+12,2.17522740028e+14,2.15760215086e+14 
29.4684375033,6.28029144183e+12,2.42846903153e+14,2.40289781241e+14 
29.8405724678,9.11162756115e+12,2.71318035654e+14,2.67608089591e+14 
30.2127074323,1.32194114847e+13,3.03414686005e+14,2.98032189486e+14 
30.5848423968,1.91791026167e+13,3.39724256161e+14,3.31915175306e+14 
30.9569773614,2.78255940221e+13,3.80979923625e+14,3.69650284381e+14 
31.3291123259,4.0370172586e+13,4.28112827478e+14,4.11675460808e+14 
31.7012472904,5.85702081806e+13,4.82326242727e+14,4.58478438114e+14 
32.0733822549,8.49753435909e+13,5.46929822559e+14,5.12008802907e+14 
32.4455172195,1.23284673944e+14,6.32371617722e+14,5.79365556221e+14 
32.817652184,1.78864952906e+14,7.35135765624e+14,6.55583352921e+14 
33.1897871485,2.5950242114e+14,8.6024309826e+14,7.41827897797e+14 
33.561922113,3.76493580679e+14,1.0146111342e+15,8.39418248645e+14 
33.9340570776,5.46227721768e+14,1.20786089907e+15,9.49846990456e+14 
34.3061920421,7.92482898354e+14,1.63429209919e+15,1.16465529876e+15 
34.6783270066,1.1497569954e+15,2.40618919886e+15,1.51221052756e+15 
35.0504619711,1.6681005372e+15,3.53655756974e+15,1.96348282801e+15 
35.4225969357,2.42012826479e+15,5.19013316471e+15,2.54942334128e+15 
35.7947319002,3.51119173422e+15,7.60685273777e+15,3.31021961605e+15 
36.1668668647,5.09413801482e+15,1.11360349819e+16,4.29805192769e+15 
36.5390018292,7.39072203353e+15,1.62860546031e+16,5.58067213533e+15 
36.9111367938,1.07226722201e+16,2.37965187893e+16,7.24605053778e+15 
37.2832717583,1.55567614393e+16,3.47431229989e+16,9.40840943937e+15 
37.6554067228,2.25701971963e+16,5.06899606511e+16,1.22160572463e+16 
38.0275416873,3.27454916288e+16,7.39107345864e+16,1.58615604057e+16 
38.3996766519,4.7508101621e+16,1.07710003674e+17,2.05949508447e+16 
38.7718116164,6.89261210435e+16,1.56889654802e+17,2.67408747594e+16 
39.1439465809,1e+17,2.28426190862e+17,3.47208589274e+16 
