logpressurec2,pressurec2,energy_densityc2,baryon_density 
2.30258509299,10.0,36596655649.4,36596655649.4 
2.67472005752,14.508287785,41421308690.9,41421308689.3 
3.04685502204,21.0490414451,46882011026.4,46882011022.2 
3.41898998657,30.5385550883,53062615049.4,53062615041.4 
3.79112495109,44.3062145758,60058027680.3,60058027666.4 
4.16325991562,64.2807311728,67975667719.6,67975667696.8 
4.53539488014,93.2603346883,76937115328.8,76937115292.8 
4.90752984466,135.304777458,87079978967.8,87079978912.2 
5.27966480919,196.304065004,98560008456.1,98560008371.6 
5.65179977371,284.803586844,1.11553486606e+11,1.11553486479e+11 
6.02393473824,413.201240012,1.26259936154e+11,1.26259935965e+11 
6.39606970276,599.484250319,1.42905183551e+11,1.42905183271e+11 
6.76820466729,869.749002618,1.61744826668e+11,1.61744826256e+11 
7.14033963181,1261.85688307,1.83068159658e+11,1.83068159054e+11 
7.51247459633,1830.7382803,2.07202615244e+11,2.07202614359e+11 
7.88460956086,2656.08778295,2.34518792649e+11,2.34518791356e+11 
8.25674452538,3853.52859371,2.65436148381e+11,2.65436146496e+11 
8.62887948991,5590.81018251,3.00429437246e+11,3.00429434499e+11 
9.00101445443,8111.3083079,3.40036002505e+11,3.40035998506e+11 
9.37314941896,11768.1195243,3.84864027123e+11,3.84864021306e+11 
9.74528438348,17073.5264747,4.35601872807e+11,4.35601864351e+11 
10.117419348,24770.7635599,4.93028650253e+11,4.93028637965e+11 
10.4895543125,35938.136638,5.58026182902e+11,5.58026165053e+11 
10.8616892771,52140.08288,6.31592547946e+11,6.31592522027e+11 
11.2338242416,75646.3327555,7.14857402505e+11,7.14857364874e+11 
11.6059592061,109749.876549,8.09099330335e+11,8.09099275707e+11 
11.9780941706,159228.279334,9.15765475463e+11,9.15765396172e+11 
12.3502291351,231012.970008,1.03649376426e+12,1.03649364918e+12 
12.7223640997,335160.265094,1.17313805721e+12,1.17313789021e+12 
13.0944990642,486260.158007,1.32779661671e+12,1.32779637437e+12 
13.4666340287,705480.231072,1.50284432806e+12,1.5028439764e+12 
13.8387689932,1023531.0219,1.70096916856e+12,1.70096865831e+12 
14.2109039578,1484968.26225,1.92521348498e+12,1.92521274461e+12 
14.5830389223,2154434.69003,2.17902071338e+12,2.17901963915e+12 
14.9551738868,3125715.84969,2.46628825918e+12,2.46628670056e+12 
15.3273088513,4534878.50813,2.79142735005e+12,2.79142508864e+12 
15.6994438159,6579332.24658,3.15943078138e+12,3.15942750035e+12 
16.0715787804,9545484.56662,3.57594959606e+12,3.5759448357e+12 
16.4437137449,13848863.7139,4.04737987737e+12,4.04737297076e+12 
16.8158487094,20092330.0257,4.58096099066e+12,4.58095097018e+12 
17.187983674,29150530.6283,5.18488678566e+12,5.18487224745e+12 
17.5601186385,42292428.7439,5.86843147241e+12,5.86841037972e+12 
17.932253603,61359072.7341,6.64209211131e+12,6.64206150919e+12 
18.3043885675,89021508.5445,7.51774991644e+12,7.51770551771e+12 
18.6765235321,129154966.501,8.5088528649e+12,8.50878844961e+12 
19.0486584966,187381742.286,9.63062243976e+12,9.63052898384e+12 
19.4207934611,271858824.273,1.09002877149e+13,1.0900152126e+13 
19.7929284256,394420605.944,1.23373504255e+13,1.23371537087e+13 
20.1650633902,572236765.935,1.39638851649e+13,1.3963599762e+13 
20.5371983547,830217568.132,1.58048794219e+13,1.58044653505e+13 
20.9093333192,1204503540.26,1.78886188282e+13,1.78880180807e+13 
21.2814682837,1747528400.01,2.02471237499e+13,2.02462521674e+13 
21.6536032483,2535364493.97,2.29166442416e+13,2.29153797238e+13 
22.0257382128,3678379771.83,2.59382214206e+13,2.59363868208e+13 
22.3978731773,5336699231.21,2.93583245443e+13,2.93556628529e+13 
22.7700081418,7742636826.81,3.32295745352e+13,3.32257128755e+13 
23.1421431064,11233240329.8,3.761156646e+13,3.76059638515e+13 
23.5142780709,16297508346.2,4.2571805616e+13,4.25636771887e+13 
23.8864130354,23644894126.5,4.81867745377e+13,4.81749815796e+13 
24.2585479999,34304692863.1,5.45431515681e+13,5.4526042003e+13 
24.6306829645,49770235643.3,6.17392058918e+13,6.171438284e+13 
25.002817929,72208090183.9,6.98863994203e+13,6.98503854198e+13 
25.3749528935,1.04761575279e+11,7.91112331431e+13,7.90589829916e+13 
25.747087858,1.51991108295e+11,8.95573851779e+13,8.94815791511e+13 
26.1192228225,2.2051307399e+11,1.01388200747e+14,1.01278219177e+14 
26.4913577871,3.1992671378e+11,1.14789612056e+14,1.14630047626e+14 
