logpressurec2,pressurec2,energy_densityc2,baryon_density 
24.0230632037,27107145555.3,2.01242677505e+11,2.35493603026e+11 
24.1339722946,30286632927.5,4.5082440127e+11,4.91392990894e+11 
24.2448813855,33839052961.5,8.81666425695e+11,9.3006119511e+11 
24.3557904764,37808148171.4,1.56338372206e+12,1.62131791116e+12 
24.4666995673,42242791775.9,2.566937668e+12,2.63625032039e+12 
24.5776086583,47197589496.8,3.95778486395e+12,4.04034145183e+12 
24.6885177492,52733551942.3,5.79017850207e+12,5.88776562702e+12 
24.7994268401,58918845858.5,8.10343130929e+12,8.21765868655e+12 
24.910335931,65829633495.9,1.09203437546e+13,1.10525629492e+13 
25.0212450219,73551010428.9,1.42475413597e+13,1.43987862506e+13 
25.1321541128,82178053375.6,1.8077217219e+13,1.8248167147e+13 
25.2430632037,91816990918.5,2.23897154978e+13,2.25806791216e+13 
25.3539722946,1.02586511545e+11,2.71564549402e+13,2.73673711128e+13 
25.4648813855,1.14619225109e+11,3.23428134101e+13,3.25732647066e+13 
25.5757904764,1.28063295717e+11,3.79107272157e+13,3.81599618076e+13 
25.6866995673,1.43084266137e+11,4.38208747593e+13,4.40878328362e+13 
25.7976086583,1.598670962e+11,5.00344015748e+13,5.03177432229e+13 
25.9085177492,1.78618440289e+11,5.65142022271e+13,5.68123344185e+13 
26.0194268401,1.99569191971e+11,6.32258083091e+13,6.35369093369e+13 
26.130335931,2.22977327086e+11,7.01379471415e+13,7.04599874046e+13 
26.2412450219,2.4913108032e+11,7.72228387983e+13,7.75535972831e+13 
26.3521541128,2.78352494367e+11,8.44562946883e+13,8.47933708159e+13 
26.4630632037,3.11001385377e+11,9.18176727389e+13,9.21584934651e+13 
26.5739722946,3.47479773539e+11,9.92897346843e+13,9.96315568735e+13 
26.6848813855,3.88236833325e+11,1.06858441537e+14,1.07198349698e+14 
26.7957904764,4.3377442438e+11,1.1451271481e+14,1.14847614307e+14 
26.9066995673,4.84653271135e+11,1.22244183844e+14,1.22570789659e+14 
27.0176086583,5.41499867258e+11,1.30046933659e+14,1.30361754787e+14 
27.1285177492,6.05014189946e+11,1.37917263182e+14,1.38216582613e+14 
27.2394268401,6.75978319053e+11,1.45853460085e+14,1.46133310333e+14 
27.350335931,7.55266067181e+11,1.53855595919e+14,1.54111729915e+14 
27.4612450219,8.43853739325e+11,1.61925343284e+14,1.62153200402e+14 
27.5721541128,9.42832154542e+11,1.7006581549e+14,1.70260482378e+14 
27.6830632037,1.05342007769e+12,1.78281428275e+14,1.78437594048e+14 
27.7939722946,1.17697922661e+12,1.86577782598e+14,1.86689687864e+14 
27.9048813855,1.31503103958e+12,1.94961567204e+14,1.95022946273e+14 
28.0157904764,1.46927540942e+12,2.03440479504e+14,2.03444495007e+14 
28.1266995673,1.64161161505e+12,2.12023163305e+14,2.11962332324e+14 
28.2376086583,1.83416170813e+12,2.2071916195e+14,2.20585272598e+14 
28.3485177492,2.04929664285e+12,2.29538885531e+14,2.29322902769e+14 
28.4594268401,2.28966547049e+12,2.38493590971e+14,2.38185550272e+14 
28.570335931,2.55822795838e+12,2.47595373908e+14,2.47184261151e+14 
28.6812450219,2.85829103481e+12,2.56857171455e+14,2.56330787233e+14 
28.7921541128,3.19354950873e+12,2.66292775086e+14,2.65637581322e+14 
28.9030632037,3.5681315655e+12,2.75916852986e+14,2.75117799499e+14 
29.0139722946,3.98664959911e+12,2.85744981407e+14,2.84785309701e+14 
29.1248813855,4.4542570066e+12,2.95793684649e+14,2.94654705858e+14 
29.2357904764,4.97671164409e+12,3.06080483418e+14,3.04741326927e+14 
29.3466995673,5.56044672586e+12,3.16623951455e+14,3.15061280213e+14 
29.4576086583,6.21265003927e+12,3.2744378038e+14,3.25631468444e+14 
29.5685177492,6.94135245122e+12,3.38560852853e+14,3.36469620064e+14 
29.6794268401,7.75552679574e+12,3.49997324203e+14,3.47594322268e+14 
29.790335931,8.66519836042e+12,3.61776712793e+14,3.59025056263e+14 
29.9012450219,9.68156833223e+12,3.73923999441e+14,3.70782234284e+14 
30.0121541128,1.08171517227e+13,3.86465736342e+14,3.82887237843e+14 
