logpressurec2,pressurec2,energy_densityc2,baryon_density 
24.8894821055,64471048888.3,-30132624054.2,42107202052.6 
24.9825124086,70756653296.1,38002765449.7,1.20051515333e+11 
25.0755427116,77655072656.4,1.97179608529e+11,2.91343684906e+11 
25.1685730146,85226053358.5,5.10095086615e+11,6.19288186312e+11 
25.2616033177,93535166764.9,1.05218100908e+12,1.17986272807e+12 
25.3546336207,1.02654377118e+11,1.90261840834e+12,2.05263095863e+12 
25.4476639237,1.12662664813e+11,3.13422726578e+12,3.31055993349e+12 
25.5406942268,1.23646710439e+11,4.80491784015e+12,5.01144423905e+12 
25.6337245298,1.35701645507e+11,6.95236214963e+12,7.19259418014e+12 
25.7267548328,1.48931876376e+11,9.59227775948e+12,9.86916787309e+12 
25.8197851358,1.634519885e+11,1.27197631565e+13,1.30355704674e+13 
25.9128154389,1.79387738842e+11,1.63126678333e+13,1.66688894296e+13 
26.0058457419,1.96877145039e+11,2.03359422857e+13,2.07333014315e+13 
26.0988760449,2.16071680756e+11,2.47461182424e+13,2.51845963087e+13 
26.191906348,2.37137587584e+11,2.94953575327e+13,2.99742554228e+13 
26.284936651,2.60257314833e+11,3.45347768228e+13,3.50527929905e+13 
26.377966954,2.85631099709e+11,3.98169591487e+13,4.03722737956e+13 
26.4709972571,3.13478701544e+11,4.52976939152e+13,4.58880517404e+13 
26.5640275601,3.44041305102e+11,5.09370562846e+13,5.15598427156e+13 
26.6570578631,3.77583609456e+11,5.66999622455e+13,5.73522701714e+13 
26.7500881661,4.1439612051e+11,6.25563337922e+13,6.3235019392e+13 
26.8431184692,4.54797667042e+11,6.84809924322e+13,6.91827197812e+13 
26.9361487722,4.99138162038e+11,7.44533773883e+13,7.51746522187e+13 
27.0291790752,5.47801633246e+11,8.04571626123e+13,8.11943559979e+13 
27.1222093783,6.012095492e+11,8.6479826802e+13,8.72291897124e+13 
27.2152396813,6.59824469503e+11,9.25122141137e+13,9.32698838141e+13 
27.3082699843,7.24154051003e+11,9.85481103419e+13,9.93101095535e+13 
27.4013002874,7.94755444548e+11,1.04583849668e+14,1.05346079289e+14 
27.4943305904,8.72240120406e+11,1.10617960122e+14,1.11376186163e+14 
27.5873608934,9.57279164131e+11,1.16650851095e+14,1.17400686342e+14 
27.6803911964,1.05060908876e+12,1.22684543068e+14,1.23421423817e+14 
27.7734214995,1.15303821366e+12,1.28722437763e+14,1.29441595828e+14 
27.8664518025,1.2654536653e+12,1.34769125767e+14,1.35465555839e+14 
27.9594821055,1.38882906051e+12,1.40830228189e+14,1.41498650461e+14 
28.0525124086,1.52423293891e+12,1.4691226872e+14,1.47547086596e+14 
28.1455427116,1.67283801739e+12,1.53022572599e+14,1.53617825163e+14 
28.2385730146,1.83593134682e+12,1.59169189198e+14,1.59718498014e+14 
28.3316033177,2.01492545914e+12,1.65360835306e+14,1.65857344984e+14 
28.4246336207,2.21137060104e+12,1.71606856493e+14,1.72043168355e+14 
28.5176639237,2.42696816051e+12,1.77917204345e+14,1.78285302374e+14 
28.6106942268,2.66358540236e+12,1.84302427668e+14,1.84593595804e+14 
28.7037245298,2.92327164036e+12,1.90773676085e+14,1.90978405784e+14 
28.7967548328,3.2082759861e+12,1.97342714773e+14,1.97450601565e+14 
28.8897851358,3.5210668283e+12,2.04021949295e+14,2.04021576931e+14 
28.9828154389,3.86435321122e+12,2.10824459762e+14,2.10703270319e+14 
29.0758457419,4.24110829736e+12,2.17764043738e+14,2.17508191846e+14 
29.1688760449,4.65459511768e+12,2.24855267508e+14,2.24449456615e+14 
29.261906348,5.10839483232e+12,2.32113525457e+14,2.31540823775e+14 
29.354936651,5.60643774659e+12,2.39555107482e+14,2.38796740959e+14 
29.447966954,6.15303735089e+12,2.47197274479e+14,2.46232393791e+14 
29.5409972571,6.75292767935e+12,2.55058342031e+14,2.53863760217e+14 
29.6340275601,7.4113043107e+12,2.63157772576e+14,2.61707669507e+14 
29.7270578631,8.13386936657e+12,2.71516276371e+14,2.69781865765e+14 
29.8200881661,8.92688089693e+12,2.80155921679e+14,2.78105075866e+14 
29.9131184692,9.79720708024e+12,2.89100254683e+14,2.86697081707e+14 
30.0061487722,1.0752385708e+13,2.98374429651e+14,2.95578796666e+14 
30.0991790752,1.18006894686e+13,3.08005349989e+14,3.04772346186e+14 
30.1922093783,1.29511975962e+13,3.18021820807e+14,3.14301152303e+14 
30.2852396813,1.42138745046e+13,3.28454713678e+14,3.24190021953e+14 
30.3782699843,1.55996560884e+13,3.39337144302e+14,3.34465238794e+14 
30.4713002874,1.71205444369e+13,3.50704663741e+14,3.45154658201e+14 
30.5643305904,1.8789711783e+13,3.6259546392e+14,3.56287804999e+14 
30.6573608934,2.06216145865e+13,3.75050598019e+14,3.67895973368e+14 
30.7503911964,2.26321187395e+13,3.88114216297e+14,3.80012328186e+14 
30.8434214995,2.48386369793e+13,4.01833817819e+14,3.92672006916e+14 
30.9364518025,2.72602796975e+13,4.16260518367e+14,4.05912220923e+14 
31.0294821055,2.99180204537e+13,4.31449334628e+14,4.19772354847e+14 
31.1225124086,3.28348776241e+13,4.47459484513e+14,4.34294062392e+14 
31.2155427116,3.60361137616e+13,4.64354703096e+14,4.49521356552e+14 
31.3085730146,3.95494543912e+13,4.82203573285e+14,4.65500691936e+14 
31.4016033177,4.34053281382e+13,5.01079869826e+14,4.82281036438e+14 
31.4946336207,4.76371302659e+13,5.21062914628e+14,4.99913929047e+14 
31.5876639237,5.22815119091e+13,5.42237940697e+14,5.18453520097e+14 
31.6806942268,5.73786975042e+13,5.64696461092e+14,5.37956589705e+14 
31.7737245298,6.29728331692e+13,5.88536638365e+14,5.58482539589e+14 
31.8667548328,6.91123690471e+13,6.13863648756e+14,5.8009335286e+14 
31.9597851358,7.58504789274e+13,6.40790034162e+14,6.02853515745e+14 
32.0528154389,8.32455207779e+13,6.69436033419e+14,6.2682989462e+14 
32.1458457419,9.13615421758e+13,6.9992988283e+14,6.52091561128e+14 
32.2388760449,1.00268835017e+14,7.32408074103e+14,6.78709557638e+14 
32.331906348,1.10044544303e+14,7.67015555987e+14,7.06756594844e+14 
32.424936651,1.2077333629e+14,8.03905863917e+14,7.36306673017e+14 
32.517966954,1.32548131769e+14,8.43241159931e+14,7.67434618263e+14 
32.6109972571,1.4547091084e+14,8.85192163141e+14,8.00215525272e+14 
32.7040275601,1.59653596156e+14,9.29937949133e+14,8.34724098454e+14 
32.7970578631,1.75219022266e+14,9.7766559494e+14,8.71033884101e+14 
32.8900881661,1.92301999473e+14,1.02856964492e+15,9.09216387493e+14 
32.9831184692,2.11050481409e+14,1.08285137192e+15,9.49340070554e+14 
33.0761487722,2.31626846446e+14,1.140717808e+15,9.91469228e+14 
33.1691790752,2.5420930403e+14,1.2023805194e+15,1.03566274288e+15 
33.2622093783,2.78993438141e+14,1.26805410227e+15,1.08197272605e+15 
33.3552396813,3.06193901213e+14,1.33795437855e+15,1.13044304837e+15 
33.4482699843,3.3604627322e+14,1.41229627548e+15,1.18110777958e+15 
33.5413002874,3.68809102003e+14,1.49129137838e+15,1.23398955316e+15 
33.6343305904,4.04766142521e+14,1.57514515375e+15,1.28909788292e+15 
33.7273608934,4.44228814424e+14,1.6640538492e+15,1.34642746311e+15 
33.8203911964,4.87538899216e+14,1.75820108765e+15,1.40595649079e+15 
33.9134214995,5.35071500387e+14,1.85775418602e+15,1.46764505515e+15 
34.0064518025,5.87238292137e+14,1.96286024265e+15,1.53143364457e+15 
34.0994821055,6.44491084842e+14,2.07364205226e+15,1.59724182671e+15 
