logpressurec2,pressurec2,energy_densityc2,baryon_density 
24.1498149093,30770273333.1,1.91551046115e+13,1.92880127446e+13 
24.2571886467,34258092349.3,2.12674184813e+13,2.1411386673e+13 
24.3645623841,38141256618.2,2.35268299314e+13,2.36822361895e+13 
24.4719361215,42464578634.1,2.59360710424e+13,2.61032530436e+13 
24.5793098588,47277950399.4,2.84975234845e+13,2.8676773423e+13 
24.6866835962,52636919189.3,3.12132301486e+13,3.14047895171e+13 
24.7940573336,58603328577.9,3.40849098508e+13,3.42889641393e+13 
24.901431071,65246032125.3,3.71139746736e+13,3.73306479683e+13 
25.0088048083,72641687962.1,4.03015495204e+13,4.05308989763e+13 
25.1161785457,80875643439.2,4.36484934726e+13,4.38905036304e+13 
25.2235522831,90042920053.2,4.71554225674e+13,4.7409999478e+13 
25.3309260205,1.00249310014e+11,5.08227336402e+13,5.10896987544e+13 
25.4382997578,1.11612597107e+11,5.46506289077e+13,5.49297126843e+13 
25.5456734952,1.24263915944e+11,5.86391410013e+13,5.89299761795e+13 
25.6530472326,1.3834926528e+11,6.27881581957e+13,6.3090272672e+13 
25.7604209699,1.54031192869e+11,6.70974496108e+13,6.74102588539e+13 
25.8677947073,1.714906713e+11,7.15666901999e+13,7.18894891308e+13 
25.9751684447,1.90929186454e+11,7.61954853695e+13,7.65274396265e+13 
26.0825421821,2.12571062691e+11,8.09833951066e+13,8.13235316063e+13 
26.1899159194,2.36666051602e+11,8.59299575202e+13,8.62771542177e+13 
26.2972896568,2.63492214188e+11,9.10347117282e+13,9.13876864705e+13 
26.4046633942,2.93359129744e+11,9.62972200491e+13,9.66545184034e+13 
26.5120371316,3.26611468461e+11,1.01717089476e+14,1.02077071407e+14 
26.6194108689,3.63632968994e+11,1.0729399244e+14,1.07654817688e+14 
26.7267846063,4.0485086688e+11,1.13027686872e+14,1.13387298888e+14 
26.8341583437,4.50740824923e+11,1.18918035612e+14,1.19274143862e+14 
26.9415320811,5.01832422437e+11,1.24965025206e+14,1.25315085672e+14 
27.0489058184,5.58715266699e+11,1.31168784168e+14,1.31509977811e+14 
27.1562795558,6.22045797134e+11,1.37529600763e+14,1.37858809742e+14 
27.2636532932,6.92554860759e+11,1.44047940424e+14,1.44361721792e+14 
27.3710270306,7.710561463e+11,1.50724462885e+14,1.51019019479e+14 
27.4784007679,8.58455574329e+11,1.57560039138e+14,1.57831187343e+14 
27.5857745053,9.55761751764e+11,1.64555768335e+14,1.64798902367e+14 
27.6931482427,1.0640976114e+12,1.7171299476e+14,1.71923047061e+14 
