logpressurec2,pressurec2,energy_densityc2,baryon_density 
24.8951478431,64837361666.1,9.68245935643e+13,9.73533344236e+13 
24.990097338,71295378031.6,9.72697162135e+13,9.78005734054e+13 
25.085046833,78396634256.0,9.77620624721e+13,9.82952260802e+13 
25.1799963279,86205199163.8,9.83050956623e+13,9.88407615789e+13 
25.2749458229,94791523046.8,9.89023839281e+13,9.94407521918e+13 
25.3698953178,1.0423307328e+11,9.95575937205e+13,1.00098866489e+14 
25.4648448128,1.14615033245e+11,1.00274483189e+14,1.00818862308e+14 
25.5597943077,1.26031070872e+11,1.01056895552e+14,1.01604579672e+14 
25.6547438027,1.38584183727e+11,1.01908752509e+14,1.02459933706e+14 
25.7496932976,1.52387628277e+11,1.02834047738e+14,1.03388907583e+14 
25.8446427926,1.67565941707e+11,1.0383684051e+14,1.04395545535e+14 
25.9395922875,1.84256065518e+11,1.0492124943e+14,1.05483945926e+14 
26.0345417825,2.02608581043e+11,1.06091446311e+14,1.06658254387e+14 
26.1294912774,2.22789068011e+11,1.0735165015e+14,1.07922656997e+14 
26.2244407724,2.44979598444e+11,1.08706121197e+14,1.09281373464e+14 
26.3193902673,2.69380379341e+11,1.10159155065e+14,1.10738650274e+14 
26.4143397623,2.96211558982e+11,1.11715076853e+14,1.12298753759e+14 
26.5092892572,3.25715213147e+11,1.13378235217e+14,1.13965963031e+14 
26.6042387522,3.58157529165e+11,1.15152996371e+14,1.15744562727e+14 
26.6991882471,3.93831207509e+11,1.17043737954e+14,1.17638835529e+14 
26.7941377421,4.33058102589e+11,1.19054842749e+14,1.19653054417e+14 
26.889087237,4.76192126581e+11,1.21190692214e+14,1.21791474618e+14 
26.984036732,5.23622442491e+11,1.23455659846e+14,1.24058325256e+14 
27.0789862269,5.75776975248e+11,1.25854104356e+14,1.26457800684e+14 
27.1739357219,6.33126272527e+11,1.28390362707e+14,1.28994051547e+14 
27.2688852168,6.96187750112e+11,1.31068743058e+14,1.31671175586e+14 
27.3638347118,7.65530360115e+11,1.33893517671e+14,1.34493208271e+14 
27.4587842067,8.41779724168e+11,1.36868915903e+14,1.37464113337e+14 
27.5537337017,9.2562377789e+11,1.39999117359e+14,1.40587773324e+14 
27.6486831966,1.01781897758e+12,1.43288245385e+14,1.43867980262e+14 
27.7436326916,1.11919712507e+12,1.46740361013e+14,1.47308426624e+14 
27.8385821865,1.23067287245e+12,1.50359457573e+14,1.50912696728e+14 
27.9335316815,1.35325197417e+12,1.54149456133e+14,1.54684258752e+14 
28.0284811764,1.48804036116e+12,1.58114201988e+14,1.58626457555e+14 
28.1234306714,1.63625411875e+12,1.6225746241e+14,1.62742508498e+14 
28.2183801663,1.7992304584e+12,1.66582925879e+14,1.67035492456e+14 
28.3133296613,1.97843978227e+12,1.71094203034e+14,1.71508352245e+14 
28.4082791562,2.17549894945e+12,1.7579482956e+14,1.76163890633e+14 
28.5032286512,2.39218586356e+12,1.80688271253e+14,1.81004770147e+14 
28.5981781461,2.63045551333e+12,1.85777931489e+14,1.86033514853e+14 
28.6931276411,2.89245761084e+12,1.91067161304e+14,1.91252514274e+14 
28.788077136,3.18055598664e+12,1.96559272321e+14,1.96664029607e+14 
28.883026631,3.49734991664e+12,2.02257552702e+14,2.02270202366e+14 
28.9779761259,3.84569757325e+12,2.08165286347e+14,2.08073065579e+14 
29.0729256209,4.22874181235e+12,2.1428577551e+14,2.1407455763e+14 
29.1678751158,4.64993852868e+12,2.20622367022e+14,2.20276538827e+14 
29.2628246108,5.11308783557e+12,2.27178482292e+14,2.26680810759e+14 
29.3577741057,5.62236835026e+12,2.33957651276e+14,2.33289138472e+14 
29.4527236006,6.1823748941e+12,2.40963550581e+14,2.40103275507e+14 
29.5476730956,6.79815994792e+12,2.48200045896e+14,2.47124991811e+14 
29.6426225905,7.47527923641e+12,2.55671238972e+14,2.54356104516e+14 
29.7375720855,8.21984185285e+12,2.63381519357e+14,2.61798511613e+14 
29.8325215804,9.03856537649e+12,2.71335621178e+14,2.69454228506e+14 
29.9274710754,9.93883647978e+12,2.7953868525e+14,2.77325427464e+14 
30.0224205703,1.09287775722e+13,2.87996326899e+14,2.85414480013e+14 
30.1173700653,1.20173200823e+13,2.96714709916e+14,2.93724002286e+14 
30.2123195602,1.32142850384e+13,3.05700627156e+14,3.02256903427e+14 
30.3072690552,1.45304716759e+13,3.14961588398e+14,3.11016437146e+14 
30.4022185501,1.59777548699e+13,3.24505916199e+14,3.20006256576e+14 
30.4971680451,1.75691922724e+13,3.34342850598e+14,3.29230472635e+14 
30.59211754,1.93191421208e+13,3.44482663705e+14,3.38693716148e+14 
30.687067035,2.12433927809e+13,3.54936785396e+14,3.48401204062e+14 
30.7820165299,2.33593051918e+13,3.65717941532e+14,3.58358810163e+14 
30.8769660249,2.56859694998e+13,3.76840306413e+14,3.68573140794e+14 
30.9719155198,2.82443772932e+13,3.88319671431e+14,3.79051616173e+14 
31.0668650148,3.10576109922e+13,4.00173632267e+14,3.89802558044e+14 
31.1618145097,3.41510521024e+13,4.1242179735e+14,4.00835284509e+14 
31.2567640047,3.75526102119e+13,4.25086020785e+14,4.12160213061e+14 
31.3517134996,4.12929747962e+13,4.38190663511e+14,4.23788972997e+14 
31.4466629946,4.54058921044e+13,4.51762887067e+14,4.3573452861e+14 
31.5416124895,4.99284696239e+13,4.65832985147e+14,4.48011314791e+14 
31.6365619845,5.49015108712e+13,4.80434759004e+14,4.6063538692e+14 
31.7315114794,6.03698835283e+13,4.95605943837e+14,4.73624587284e+14 
31.8264609744,6.63829242473e+13,5.11388694577e+14,4.86998730594e+14 
31.9214104693,7.29948837743e+13,5.27830141011e+14,5.00779811615e+14 
32.0163599643,8.026541641e+13,5.44983023985e+14,5.1499223846e+14 
32.1113094592,8.82601182213e+13,5.62906426652e+14,5.29663095677e+14 
32.2062589542,9.70511188611e+13,5.81666617346e+14,5.4482244199e+14 
32.3012084491,1.06717732335e+14,6.01338023851e+14,5.60503648455e+14 
32.3961579441,1.17347172587e+14,6.22004362733e+14,5.76743783771e+14 
32.491107439,1.29035340358e+14,6.43759952079e+14,5.93584054795e+14 
32.586056934,1.41887688423e+14,6.66711241769e+14,6.11070311807e+14 
32.6810064289,1.56020173002e+14,6.90978602446e+14,6.29253629892e+14 
32.7759559239,1.71560299939e+14,7.16698422999e+14,6.48190980101e+14 
32.8709054188,1.88648275085e+14,7.44025577109e+14,6.67946006752e+14 
32.9658549138,2.07438269257e+14,7.73136332615e+14,6.88589930663e+14 
33.0608044087,2.28099809197e+14,8.04231793959e+14,7.10202602247e+14 
33.1557539037,2.50819307075e+14,8.37541988537e+14,7.32873733624e+14 
