logpressurec2,pressurec2,energy_densityc2,baryon_density 
24.229857617,33334462777.5,1.88470220591e+13,1.89884138772e+13 
24.3382414554,37150440129.5,2.1138971205e+13,2.12932580913e+13 
24.4466252938,41403253174.5,2.35817657454e+13,2.37493292998e+13 
24.5550091322,46142908871.6,2.61752131436e+13,2.63563768314e+13 
24.6633929706,51425138748.3,2.89188812826e+13,2.91139068052e+13 
24.7717768089,57312054223.6,3.18121654746e+13,3.20212492429e+13 
24.8801606473,63872876948.5,3.4854350599e+13,3.50776202236e+13 
24.9885444857,71184752753.0,3.80446680415e+13,3.82821787494e+13 
25.0969283241,79333658770.3,4.13823473327e+13,4.16340782217e+13 
25.2053121625,88415414403.7,4.48666625653e+13,4.51325126037e+13 
25.3136960009,98536808025.1,4.84969737985e+13,4.87767574794e+13 
25.4220798392,1.09816852652e+11,5.2272763753e+13,5.25662063105e+13 
25.5304636776,1.22388185372e+11,5.61936701657e+13,5.65004022553e+13 
25.638847516,1.36398626957e+11,6.02595142054e+13,6.05790659532e+13 
25.7472313544,1.52012920032e+11,6.44703253753e+13,6.48021196905e+13 
25.8556151928,1.69414666204e+11,6.88263633253e+13,6.916970837e+13 
25.9639990312,1.88808484957e+11,7.33281369928e+13,7.36822176924e+13 
26.0723828695,2.10422419679e+11,7.79764214734e+13,7.83402899449e+13 
26.1807667079,2.34510619126e+11,8.2772273001e+13,8.31448377652e+13 
26.2891505463,2.61356325845e+11,8.77170423953e+13,8.80970562266e+13 
26.3975343847,2.91275206701e+11,9.28123873061e+13,9.319843356e+13 
26.5059182231,3.24619064659e+11,9.80602835611e+13,9.84507608032e+13 
26.6143020615,3.61779975486e+11,1.03463035897e+14,1.03856140637e+14 
26.7226858998,4.03194897997e+11,1.09023288331e+14,1.09416995648e+14 
26.8310697382,4.49350812056e+11,1.14744034413e+14,1.15136076223e+14 
26.9394535766,5.00790444768e+11,1.20628627562e+14,1.21016468268e+14 
27.047837415,5.58118652157e+11,1.26680791708e+14,1.27061600924e+14 
27.1562212534,6.22009531412e+11,1.329046324e+14,1.33275254415e+14 
27.2646050918,6.93214347293e+11,1.39304648577e+14,1.39661568179e+14 
27.3729889301,7.72570365927e+11,1.45885745139e+14,1.46225049384e+14 
27.4813727685,8.6101069985e+11,1.52653246507e+14,1.52970581946e+14 
27.5897566069,9.59575280067e+11,1.5961291129e+14,1.59903436134e+14 
27.6981404453,1.06942308415e+12,1.6677094823e+14,1.67029278856e+14 
27.8065242837,1.19184576412e+12,1.74134033575e+14,1.74354184693e+14 
27.9149081221,1.32828283447e+12,1.81709330008e+14,1.81884647751e+14 
28.0232919605,1.48033859871e+12,1.89504507317e+14,1.89627594402e+14 
28.1316757988,1.64980101374e+12,1.97527764944e+14,1.97590396964e+14 
28.2400596372,1.83866271359e+12,2.05787856595e+14,2.05780888375e+14 
28.3484434756,2.04914443996e+12,2.14294117092e+14,2.14207377912e+14 
28.456827314,2.28372115493e+12,2.23056491651e+14,2.22878668007e+14 
28.5652111524,2.54515114298e+12,2.32085567808e+14,2.31804072196e+14 
28.6735949908,2.83650844439e+12,2.41392610214e+14,2.40993434249e+14 
28.7819788291,3.16121900159e+12,2.50989598548e+14,2.50457148524e+14 
28.8903626675,3.52310094327e+12,2.60889268822e+14,2.60206181578e+14 
28.9987465059,3.92640948008e+12,2.71105158384e+14,2.7025209508e+14 
29.1071303443,4.37588693981e+12,2.81651654932e+14,2.80607070057e+14 
29.2155141827,4.87681853029e+12,2.92544049928e+14,2.91283932506e+14 
29.3238980211,5.43509448588e+12,3.03798596789e+14,3.02296180416e+14 
29.4322818594,6.05727932811e+12,3.15432574328e+14,3.13658012214e+14 
29.5406656978,6.750689055e+12,3.27464355915e+14,3.25384356675e+14 
29.6490495362,7.52347716669e+12,3.39913484918e+14,3.37490904321e+14 
29.7574333746,8.38473053885e+12,3.52800757037e+14,3.49994140321e+14 
29.865817213,9.34457627124e+12,3.66148310186e+14,3.62911378924e+14 
29.9742010514,1.04143007679e+13,3.79979722691e+14,3.76260799425e+14 
30.0825848897,1.16064824488e+13,3.9432012062e+14,3.90061483678e+14 
30.1909687281,1.29351396543e+13,4.09196295168e+14,4.04333455156e+14 
30.2993525665,1.44158954803e+13,4.24636831127e+14,4.19097719553e+14 
30.4077364049,1.60661614836e+13,4.40672247563e+14,4.34376306905e+14 
30.5161202433,1.79053424167e+13,4.57335151973e+14,4.50192315211e+14 
30.6245040817,1.99550643996e+13,4.746604093e+14,4.66569955513e+14 
30.73288792,2.22394292119e+13,4.92685327375e+14,4.83534598389e+14 
30.8412717584,2.47852976952e+13,5.11449860496e+14,5.0111282178e+14 
30.9496555968,2.76226055977e+13,5.30996833045e+14,5.19332460084e+14 
31.0580394352,3.07847155758e+13,5.51372185263e+14,5.38222654399e+14 
31.1664232736,3.43088094906e+13,5.72625243516e+14,5.57813903809e+14 
31.274807112,3.82363256129e+13,5.9480901765e+14,5.78138117542e+14 
31.3831909504,4.26134458784e+13,6.17980528292e+14,5.99228667844e+14 
31.4915747887,4.74916389198e+13,6.42201167275e+14,6.21120443361e+14 
31.5999586271,5.29282652646e+13,6.67537094684e+14,6.4384990278e+14 
31.7083424655,5.89872518119e+13,6.94059676397e+14,6.67455128476e+14 
31.8167263039,6.57398435207e+13,7.21845966384e+14,6.91975879836e+14 
31.9251101423,7.32654411483e+13,7.50979238474e+14,7.17453645912e+14 
32.0334939807,8.16525348888e+13,7.81549572765e+14,7.4393169701e+14 
32.141877819,9.09997448902e+13,8.1365450238e+14,7.71455134749e+14 
32.2502616574,1.01416980886e+14,8.47399726829e+14,8.00070940099e+14 
32.3586454958,1.13026734574e+14,8.82899898847e+14,8.29828018827e+14 
32.4670293342,1.25965519944e+14,9.20279492242e+14,8.60777243728e+14 
32.5754131726,1.40385478484e+14,9.59673758985e+14,8.92971492965e+14 
32.683797011,1.56456168149e+14,1.00122978455e+15,9.26465683736e+14 
32.7921808493,1.74366557113e+14,1.04510765132e+15,9.61316800458e+14 
32.9005646877,1.94327245765e+14,1.09148172075e+15,9.97583916556e+14 
33.0089485261,2.16572943068e+14,1.14054204593e+15,1.03532820888e+15 
33.1173323645,2.41365226397e+14,1.19249592709e+15,1.07461296365e+15 
33.2257162029,2.68995617312e+14,1.24756962375e+15,1.11550357289e+15 
33.3341000413,2.99789009432e+14,1.3060102382e+15,1.15806751995e+15 
33.4424838796,3.34107488719e+14,1.36808778622e+15,1.20237435302e+15 
